country,channel,code
de,Sky Krimi,SkyKrimi.de
de,Sky Emotion,SkyEmotion.de
de,Phoenix HD,phoenix.de
de,Spiegel TV Wissen HD,SpiegelTV.de
de,PRO7 HD,Pro7.de
de,Heimatkanal,Heimatkanal.de
de,MTV Germany,MTVGermany.de
de,Sky Cinema+24,SkyCinemaPlus24.de
de,Sat 1 Emotions,Sat1Comedy.de
de,Sky Bundesliga HD 2,SkyBundesliga2.de
de,RTL HD,RTL.de
de,TOGGO plus,TOGGOplus.de
de,Universal Channel HD,Universal.de
de,Animal Planet HD,AnimalPlanet.de
de,Tele 5 HD,Tele5.de
de,ZDF HD,ZDF.de
de,sportdigital.tv,sportdigital.de
de,TLC HD,TLC.de
de,Sport 1+,SPORT1plus.de
de,Arte Germany HD,ARTE.de
de,DELUXE Music HD,DeLuxeMusic.de
de,E! Entertainment Germany,EEntertainment.de
de,ZDF info,ZDFinfo.de
de,sonnenklar.tv,SonnenKlar.de
de,Goldstar TV,GoldstarTV.de
de,Disney Channel HD,disneychannel.de
dk,MTV Live HD,MTVLiveHD.dk
dk,Viasat Explorer,ViasatExplorer.dk
dk,DR 3,DR3.dk
dk,MTV Rocks,MTVRocks.dk
dk,Viasat Golf,ViasatGolf.dk
dk,Nickelodeon,Nickelodeon.dk
dk,Playhouse Disney,DisneyJr.dk
dk,National Geographic,NationalGeopgraphic.dk
dk,TV2Zulu,TV2Zulu.dk
dk,CartoonNetwork,CartoonNetwork.dk
dk,Discovery,DiscoveryChannel.dk
dk,Eurosport HD,EurosportHD.dk
dk,Nat Geo People,NatGeoPeople.dk
dk,Motors TV,MotorsTV.dk
dk,Nick Jr,NickJr.dk
dk,TV2 Ostjylland,TV2Ostjylland.dk
dk,Discovery HD,DiscoveryHD.dk
dk,DR1,DR1.dk
dk,DR2,DR2.dk
dk,Nickelodeon,NickelodeonMTVHits.dk
dk,TV2 fri,TV2fri.dk
dk,BlueHustler Night,BlueHustlerNight.dk
dk,CANAL 9,CANAL9.dk
dk,Eurosport,Eurosport.dk
dk,Boomerang,Boomerang.dk
dk,Nat Geo Wild HD,NatGeoWildHD.dk
dk,DRK,DRK.dk
dk,DR RamaSjang,DRRamaSjang.dk
dk,TV2 News,TV2News.dk
dk,History HD,HistoryHD.dk
dk,Disney XD,DisneyXD.dk
dk,TV2MidtVest,TV2MidtVest.dk
dk,Disney Junior,DisneyJunior.dk
dk,Discovery Science,DiscoveryScience.dk
dk,VH1,VH1.dk
dk,Discovery World,DiscoveryWorld.dk
dk,TV2 fyn (HD),TV2fyn.dk
dk,TV3plus,TV3plus.dk
dk,Kanal NORD,KanalNord.dk
dk,MTV,MTV.dk
dk,6eren,6eren.dk
dk,Kanal5,Kanal5.dk
dk,TLC Danmark HD,TLCDanmarkHD.dk
dk,AnimalPlanet,AnimalPlanet.dk
dk,Canal+ Hits,CMoreHits.dk
dk,Dr Ultra,DRUltra.dk
dk,TLC Danmark,TLC.dk
dk,TV2Syd,TVSyd.dk
dk,Kanal Østjylland,KanalOstjylland.dk
dk,TV3 Sport1,TV3Sport1.dk
dk,Viasat Series,ViasatSeries.dk
dk,TV3,TV3.dk
dk,Kanal4,Kanal4.dk
dk,DisneyChannel,DisneyChannel.dk
dk,Viasat Nature/Crime,ViasatNatureCrime.dk
dk,Viasat History,ViasatHistory.dk
dk,TV2bornholm,TV2bornholm.dk
dk,C More Stars,CMoreStars.dk
dk,dk4,dk4.dk
dk,24 Nordjyske,24nord.dk
dk,Canal+ Series,CMoreSeries.dk
dk,Viasat Film Action,ViasatFilmAction.dk
dk,TV2Sport,TV2Sport.dk
dk,TNT,TNTNordic.dk
dk,TV2Charlie,TV2Charlie.dk
dk,TV2nord,TV2nord.dk
dk,TV2Ost,TV2Ost.dk
dk,MTV Dance,MTVDance.dk
dk,National Geographic HD,NatGeoHD.dk
dk,Viasat Premiere,ViasatPremiere.dk
dk,Viasat Family,ViasatFamily.dk
dk,sf-kanalen,SFkanalen.dk
dk,TV2,TV2.dk
dk,ID,ID.dk
dk,Comedy Central,ComedyCentral.dk
dk,Eurosport 2,Eurosport2.dk
dk,TV3 Puls,TV3Puls.dk
dk,TV3 Max,TV3Max.dk
dk,Canal+ First,CMoreFirst.dk
dk,MTV Hits,MTVHits.dk
dk,TV2Lorry,TV2Lorry.dk
es,El Garage TV,ElGarageTV.es
fi,CNBC,CNBCNordic.fi
fi,Eurosport 2,Eurosport2.fi
fi,MTV3,MTV3.fi
fi,BBC Knowledge,BBCKnowledge.fi
fi,Disney Junior,DisneyJr.fi
fi,YLE TV1,YLE1.fi
fi,MTV MAX,MTV3Max.fi
fi,Animal Planet,AnimalPlanet.fi
fi,Nickelodeon,Nickelodeon.fi
fi,Liv,liv.fi
fi,TV Finland,TVFinland.fi
fi,YLE FEM,YLEFem.fi
fi,BBC Brit,BBCBrit.fi
fi,NickJr,NickJr.fi
fi,Frii,Frii.fi
fi,MTV Sport 2,MTV3MaxSport2.fi
fi,CMore Juniori,SUBJuniori.fi
fi,Cartoon Network,CartoonNetwork.fi
fi,Animal Planet HD,AnimalPlanetHD.fi
fi,Sub,SubTV.fi
fi,AVA,MTV3Ava.fi
fi,Nelonen,Nelonen.fi
fi,Nelonen Hero,Hero.fi
fi,MTV Sport 1 HD,MTV3MaxSport1.fi
fi,Discovery HD,DiscoveryHD.fi
fi,Extreme Sports Channel,ExtremeSports.fi
fi,History Channel,History.fi
fi,National Geographic,NationalGeographic.fi
fi,Discovery World,DiscoveryWorld.fi
fi,Eurosport HD,Eurosport.fi
fi,SF-kanalen,SFKanalen.fi
fi,Disney Channel,DisneyChannel.fi
fi,Viasat Explorer,ViasatExplorer.fi
fi,XD Disney,DisneyXD.fi
fi,MTV Suomi,MTV.fi
fi,TV5,TV5.fi
fi,Discovery Channel,DiscoveryChannel.fi
fi,Fox,Fox.fi
fi,Investigation Discovery,InvestigationDiscovery.fi
fi,JIM,Jim.fi
fi,Kutonen,TheVoice.fi
fi,YLE TV2,YLE2.fi
fi,National Geographic HD,NationalGeographicHD.fi
fi,H2HD,H2.fi
fi,Discovery Science,DiscoveryScience.fi
fr,Mont Blanc Live,MontBlancLiveTV.fr
fr,Stingray Festival,StingrayFestival.fr
fr,Myzen TV,MyzenTV.fr
fr,Ciné cinéma Frisson,CinecinemaFrisson.fr
fr,Ushuaia TV,UshuaiaTV.fr
fr,J-ONE HD,JOne.fr
fr,Mezzo Live HD,MezzoLiveHD.fr
fr,RMC Sport 4K,RMCSport4K.fr
fr,OCS Max,OrangeCinemax.fr
fr,AB 1,AB1.fr
fr,France 4,France4.fr
fr,BET France HD,BET.fr
fr,Canal+ Series,CanalplusSeries.fr
fr,France 3 Picardie,France3Picardie.fr
fr,Altice Studio,AlticeStudio.fr
fr,OM TV,OMTV.fr
fr,OL TV,OLTV.fr
fr,NAT GEO WILD HD,NatGeoWildHD.fr
fr,Non Stop People,NonStopPeople.fr
fr,La Locale,LaLocale.fr
fr,Histoire,Histoire.fr
fr,Comedie,Comedie.fr
fr,Boomerang (France),Boomerang.fr
fr,DISNEY JUNIOR,DisneyJunior.fr
fr,Martinique 1ère,Martinique1.fr
fr,Serie Club,SerieClub.fr
fr,Discovery Investigation,DiscoveryInvestigation.fr
fr,Polar+,PolarPlus.fr
fr,France 3 Basse-Normandie,France3Basse-Normandie.fr
fr,KTO,KTO.fr
fr,RMC Story,RMCStory.fr
fr,France 3 Midi-Pyrénées,France3Midi-Pyrenees.fr
fr,National Geographic,NationalGeographic.fr
fr,TCM,TCM.fr
fr,Eurosport1,Eurosport1.fr
fr,Motorsport TV FR,MotorsportTV.fr
fr,Science et Vie,ScienceVie.fr
fr,France 3 Champagne-Ardenne,France3Champagne-Ardenne.fr
fr,Brava HD,StingrayBrava.fr
fr,NOLLYWOOD TV,Nollywood.fr
fr,MTV +1,MTVPlus1.fr
fr,Trace TV,TraceUrban.fr
fr,Equipe 21,EquipeTV.fr
fr,Equidia Live,EquidiaLive.fr
fr,ONZEO,Onzeo.fr
fr,France 3 Haute-Normandie,France3Haute-Normandie.fr
fr,Discovery Channel,Discovery.fr
fr,BeIN Sports 3,beINSport3.fr
fr,Seasons,Seasons.fr
fr,13ème RUE,13RUE.fr
fr,France 3 Franche-Comté,France3Franche-Comte.fr
fr,RMC decouverte,RMCdecouverte.fr
fr,Baby TV,BabyTV.fr
fr,Nickelodeon,Nickelodeon.fr
fr,France 3 Rhône-Alpes,France3Rhone-Alpes.fr
fr,OCS Géants,OrangeCineGeants.fr
fr,BeIN Sports MAX 8,BeInSportMax8.fr
fr,D!ci TV,Dicit.fr
fr,Nickelodeon +1,NickelodeonPlus1.fr
fr,ANIMAUX,Animaux.fr
fr,Bip TV,BipTV.fr
fr,Game One,GameOne.fr
fr,Franceinfo,Franceinfo.fr
fr,BeIN Sports MAX 6,BeInSportMax6.fr
fr,TMC +1,TMCplus1.fr
fr,Discovery Family,DiscoveryFamily.fr
fr,Vosges TV,VosgesTV.fr
fr,Automoto la chaîne,Automoto.fr
fr,CANAL+ SPORT,CANALplusSPORT.fr
fr,TV7 Bordeaux,TV7Bordeaux.fr
fr,Disney XD,DisneyXD.fr
fr,FRANCE Ô,FranceO.fr
fr,Tebeo - Tele Bretagne Ouest,Tebeo.fr
fr,France 3 Lorraine,France3Lorraine.fr
fr,NRJ Hits,NRJHits.fr
fr,Nickelodeon Junior,NickJr.fr
fr,6ter,6ter.fr
fr,CANAL+ Family,CANALplusFamily.fr
fr,CStar,CStar.fr
fr,Ciné cinéma Club,CinecinemaClub.fr
fr,Paramount Channel,ParamountChannel.fr
fr,TéléTOON +1,TeleTOONplus1.fr
fr,Canal J,CanalJ.fr
fr,Viceland,Viceland.fr
fr,C8,C8.fr
fr,Golf+,Golfplus.fr
fr,FRANCE 3 Corse Via Stella,France3Corse.fr
fr,TF1,TF1.fr
fr,Crime District,CrimeDistrict.fr
fr,Vivolta,Vivolta.fr
fr,Djazz TV,StingrayDjazz.fr
fr,MTV,MTV.fr
fr,TELE MELODY,TeleMelody.fr
fr,France 3 Auvergne,France3Auvergne.fr
fr,Museum,Museum.fr
fr,France 3 Paris IdF,France3Paris-IdF.fr
fr,BeIN Sports MAX 9,BeInSportMax9.fr
fr,BeIN Sports MAX 4,BeInSportMax4.fr
fr,Toonami,Toonami.fr
fr,MA CHAINE SPORT EXTREME HD,MCSExtreme.fr
fr,RTL 9,RTL9.fr
fr,DisneyChannel +1,DisneyChannelPlus1.fr
fr,France 2,France2.fr
fr,BBlack Classik,BBlackClassik.fr
fr,Trace Sports,TraceSport.fr
fr,France 3 Côte d'Azur,France3CotedAzur.fr
fr,M6 MUSIC HITS,M6MusicHits.fr
fr,France 3 Bretagne,France3Bretagne.fr
fr,BeIN Sports 1,beINSport1.fr
fr,Nickelodeon4Teen,Nick4teens.fr
fr,NRJ 12,NRJ12.fr
fr,Ciné cinéma Premier,CinecinemaPremier.fr
fr,LA CHAINE METEO,LaChaineMeteo.fr
fr,BeIN Sports MAX 5,BeInSportMax5.fr
fr,France 3 Provence-Alpes,France3Provence-Alpes.fr
fr,France 3 Languedoc,France3Languedoc.fr
fr,CNews,CNews.fr
fr,Cartoon Network (France),CartoonNetwork.fr
fr,Gong Max,GongMax.fr
fr,Syfy Universal,Syfy.fr
fr,ES1,ES1.fr
fr,CANAL+ CINEMA,CANALplusCINEMA.fr
fr,Lucky Jack,LuckyJack.fr
fr,LCI,LCI.fr
fr,BFM Sport,BFMSport.fr
fr,RMC Sport Access 1,RMCSportAccess1.fr
fr,RMC Sport 1,RMCSport1.fr
fr,BeIN Sports MAX 7,BeInSportMax7.fr
fr,M6 BOUTIQUE,M6Boutique.fr
fr,France 3 Nord-Pas de Calais,France3Nord-PasDeCalais.fr
fr,Ciné cinéma Emotion,CinecinemaEmotion.fr
fr,Warner TV,Warnertv.fr
fr,Guyane 1ère,Guyane1.fr
fr,France 5,France5.fr
fr,PLANETE,PLANETE.fr
fr,Paris Première,ParisPremiere.fr
fr,Ma chaîne sport,MaChaineSport.fr
fr,OCS Choc,OrangeCinechoc.fr
fr,W9,W9.fr
fr,RMC Sport 4,RMCSport4.fr
fr,Disney Cinema,DisneyMagic.fr
fr,BFM TV,BFMTV.fr
fr,LCP,LCP.fr
fr,Eurochannel,Eurochannel.fr
fr,TFX,TFX.fr
fr,TV8 MONT BLANC,TV8MontBlanc.fr
fr,TéléTOON,TeleTOON.fr
fr,Paramount Channel Decale,ParamountChannelDecale.fr
fr,M6,M6.fr
fr,CANAL+ DÉCALÉ,CANALplusDECALE.fr
fr,ELLE Girl,ELLEGirl.fr
fr,PIWI+,PIWI.fr
fr,Ciné cinéma Classic,CinecinemaClassic.fr
fr,Guadeloupe 1ère,Guadeloupe1.fr
fr,PLANETE CI (Crime and Investigation),PLANETEJustice.fr
fr,BeIN Sports MAX 10,BeInSportMax10.fr
fr,Sundance Channel,SundanceChannel.fr
fr,Numero 23,Numero23.fr
fr,My Cuisine,MyCuisine.fr
fr,Voyage,Voyage.fr
fr,Gulli,Gulli.fr
fr,BFM Business,BFMBusiness.fr
fr,Game One +1,GameOnePlus1.fr
fr,RMC Sport 3,RMCSport3.fr
fr,Tiji,Tiji.fr
fr,Trace AFRICA,TraceAFRICA.fr
fr,CANAL+,CANALplus.fr
fr,E!,Eentertainment.fr
fr,Gong,Gong.fr
fr,C Star Hits France,CStarHitsFrance.fr
fr,France 3 Centre,France3Centre.fr
fr,France 3 Alsace,France3Alsace.fr
fr,Mezzo,Mezzo.fr
fr,MCM,MCM.fr
fr,France 3 Pays de la Loire,France3PaysDeLaLoire.fr
fr,A+ CENTRE,A+.fr
fr,DISCOVERY SCIENCE HD,DiscoveryScience.fr
fr,MCM top,MCMtop.fr
fr,ACTION,Action.fr
fr,Toute l'histoire,TouteHistoire.fr
fr,ETB 1,ETB1.fr
fr,Mirabelle TV,MirabelleTV.fr
fr,AB Moteurs,ABMoteurs.fr
fr,Trek,Trek.fr
fr,RFM TV,RFMTV.fr
fr,TF1 +1,TF1plus1.fr
fr,BeIN Sports 2,beINSport2.fr
fr,PINK TV,PinkTV.fr
fr,QVC,QVC.fr
fr,Golf channel,Golf.fr
fr,Ciné cinéma Famiz,CinecinemaFamiz.fr
fr,France 3 Aquitaine,France3Aquitaine.fr
fr,TV Tours,TVTours.fr
fr,France 3 Alpes,France3Alpes.fr
fr,TV Breizh,TVBreizh.fr
fr,Cherie 25,Cherie25.fr
fr,France 3 Poitou-Charentes,France3Poitou-Charentes.fr
fr,TF1 Series Films,TF1SeriesFilms.fr
fr,Foot+ 24/24,Foot24.fr
fr,TMC,TMC.fr
fr,MANGAS,Mangas.fr
fr,Téva,Teva.fr
fr,France 3 Bourgogne,France3Bourgogne.fr
fr,Extreme Sports Channel,ExtremeSports.fr
fr,PLANETE AandE (Action and Expérience),PLANETEnoLIMIT.fr
fr,RMC Sport 2,RMCSport2.fr
fr,France 3,France3.fr
fr,ARTE,ARTE.fr
fr,OCS City,OrangeCineHappy.fr
fr,RMC Sport Access 2,RMCSportAccess2.fr
fr,Novelas TV,NovelasTV.fr
fr,Grand Lille TV,GrandLilleTV.fr
fr,Boing,Boing.fr
fr,INFOSPORT+,Infosport.fr
fr,RMC Sport News HD,RMCSportNews.fr
fr,Eurosport2,Eurosport2.fr
fr,RMC Sport Access 3,RMCSportAccess3.fr
fr,France 3 Limousin,France3Limousin.fr
fr,CliqueTV.fr,CliqueTV.fr
fr,Chasse et Pêche,ChassePeche.fr
fr,Disney Channel,DisneyChannel.fr
gr,ΔΤ HD,EPT-HD.gr
gr,Κρήτη TV,ΚreteTV.gr
gr,Kontra Channel,Kontra.gr
gr,BBC Earth HD,BBCEarth.gr
gr,Motorvision Channel,MotorvisionChannel.gr
gr,OTE Sport 6 HD,OTESport6.gr
gr,MTV,MTV.gr
gr,OTE Sport 8 HD,OTESport8.gr
gr,ΔΙΚΤΥΟ TV,DiktyoTV.gr
gr,Rik Sat,RikSat.gr
gr,Animal Planet,animalplanet.gr
gr,Action 24,Action24.gr
gr,ΕΡΤ2,EPT2.gr
gr,Disney XD,DisneyXD.gr
gr,Mad Greekz,MADGreekz.gr
gr,History,TheHistoryChannel.gr
gr,Village Cinema HD,VillageCinema.gr
gr,Skai,Skai.gr
gr,Viasat Nature,ViasatNature.gr
gr,Eurosport,EuroSport1.gr
gr,Viasat History,ViasatHistory.gr
gr,ANT1,ANT1.gr
gr,OTE Sport 2,OTESport2.gr
gr,novacinema4,NovaCinema4.gr
gr,ΑΡΤ,APT.gr
gr,FOX SPORTS HD,FoxSports.gr
gr,Alpha,alpha.gr
gr,National Geographic,natgeo.gr
gr,Al Jazeera,AlJazeeraIntl.gr
gr,novasports2,NovaSports2.gr
gr,novacinema1,NovaCinema1.gr
gr,Channel 9,Channel9.gr
gr,Ήπειρος TV1,IPIROSTV.gr
gr,Extra,Extra.gr
gr,novasports1 HD,NovaSportsHD.gr
gr,Epsilon TV,ETV.gr
gr,E! Entertainment,Eentertainment.gr
gr,OTE Cinema 2,OTECinema2.gr
gr,OPEN BEYOND,OPENBEYOND.gr
gr,National Geographic HD,natgeoHD.gr
gr,FOX,FOX.gr
gr,Motors TV,MotorsTV.gr
gr,Discovery Showcase HD,DiscoveryHD.gr
gr,New TV,NewTV.gr
gr,novasports4,NovaSports4.gr
gr,Corfu Channel,CorfuChannel.gr
gr,novasports3,NovaSports3.gr
gr,Δέλτα TV,DeltaTV.gr
gr,COSMOTE SPORT 9HD,CosmoteSport9.gr
gr,C Music TV,CMusicTV.gr
gr,Mad Hits,MadHits.gr
gr,novasports5HD,NovaSports5.gr
gr,Science (Discovery),DiscoveryScience.gr
gr,"FOX Life""",Foxlife.gr
gr,OTE History,OTEHistory.gr
gr,Mega Channel,mega.gr
gr,Nautical Channel HD,NauticalChannel.gr
gr,OTE Sport 4,OTESport4.gr
gr,OTE Sport Highlights HD,OTESportsHighlights.gr
gr,Star,star.gr
gr,Disney Junior,DisneyJunior.gr
gr,FoodNetwork,FoodNetwork.gr
gr,Body in Balance,BodyInBalance.gr
gr,OTE Sport 7 HD,OTESport7.gr
gr,novacinema 1 HD,NovaCinemaHD.gr
gr,Stingray iConcerts,StingrayIConcerts.gr
gr,Best TV,BestTV.gr
gr,OTE Sport 3,OTESport3.gr
gr,Macedonia TV,Macedonia.gr
gr,Fashion TV,FashionTV.gr
gr,novasports24 HD,Novasports24.gr
gr,Mezzo,Mezzo.gr
gr,ΙΟΝΙΑΝ TV,ΙΟΝΙΑΝ.gr
gr,OTE Sport 1,OTESport1.gr
gr,ΕΡΤ1,EPT1.gr
gr,OTE Cinema 3,OTECinema3.gr
gr,Nickelodeon,Nickelodeon.gr
gr,Boomerang,Boomerang.gr
gr,novalife,NovaLife.gr
gr,OTE Cinema 4,OTECinema4.gr
gr,Blue Sky,BlueSky.gr
gr,Disney Channel,DisneyChannel.gr
gr,Vouli,vouli.gr
gr,Eurosport2,EuroSport2.gr
gr,ΕΡΤ3,EPT3.gr
gr,OTE Cinema 1,OTECinema1.gr
gr,TCM,TCM.gr
gr,Κρήτη TV,KritiTV.gr
gr,Sundance Channel,SundanceChannel.gr
gr,TLC,TLC.gr
gr,EDGEsport HD,EDGEsport.gr
gr,Discovery Turbo Xtra HD,DiscoveryTurboXtra.gr
gr,Deutsche Welle,DeutscheWelle.gr
gr,Travel Channel,travel.gr
gr,Crime and Investigation,CrimeInvestigation.gr
gr,novacinema2,NovaCinema2.gr
gr,Star Κεντρικής Ελλάδας,StarKentrikesElladas.gr
gr,novacinema3,NovaCinema3.gr
gr,Outdoor Channel,OutdoorChannel.gr
gr,National Geographic Wild HD,NatGeoWild.gr
gr,Fine Living,Fineliving.gr
gr,Smile TV,SmileTV.gr
gr,TRT,TRT.gr
gr,ID (Discovery) IDX HD,DiscoveryID.gr
gr,VH1,VH1.gr
gr,OTE Sport 5,OTESport5.gr
gr,Baby TV,BabyTV.gr
gr,ALERT,ALERT.gr
gr,CBS Reality,CBSReality.gr
gr,novasports1,NovaSports1.gr
gr,Αιγαίο TV,AigaioTV.gr
gr,Discovery Channel,discovery.gr
gr,MAD TV,MADTV.gr
gr,4Ε,4E.gr
gr,Νέα Τηλεόραση Κρήτης,NeaTeleoraseKretes.gr
gr,Viasat Explore,ViasatExplore.gr
gr,ERT World,ERTWorld.gr
hr,Viasat History,ViasatHistory.hr
hr,ID Xtra,IDXtra.hr
hr,TLC,TLC.hr
hr,DTX HD,DTX.hr
hr,BBC Entertainment,BBCEntertainment.hr
hr,Nick JR,NickJR.hr
hr,Face TV,FaceTV.hr
hr,Motors Tv,MotorsTV.hr
hr,Arena Sport 1,ArenaSport1.hr
hr,Al Jazeera Balkans,AlJazeeraBalkans.hr
hr,Srce TV,SrceTV.hr
hr,Arena Sport 5,ArenaSport5.hr
hr,SportKlub 1,SportKlub1.hr
hr,Cinestar Action and Thriller,CinestarAction.hr
hr,Crime & Investigations,CrimeInvestigations.hr
hr,Boomerang,Boomerang.hr
hr,Poljoprivredna TV,PoljoprivrednaTV.hr
hr,Fox,Fox.hr
hr,MrežaZG,MrezaZG.hr
hr,Fast&Fun Box,FastFunBox.hr
hr,TV Istra,TVIstra.hr
hr,TV Ultra,UltraTV.hr
hr,Prva srpska televizija,Prva.hr
hr,Eurosport1 - Srbija,Eurosport1.hr
hr,SOS,SOS.hr
hr,SportKlub Golf,SportKlubGolf.hr
hr,Kanal 5,Kanal5.hr
hr,Cartoon Network,CartoonNetwork.hr
hr,Arthouse,Arthouse.hr
hr,BBC Earth,BBCEarth.hr
hr,NarodnaTV,NarodnaTV.hr
hr,Discovery Science,DiscoveryScience.hr
hr,RTB TV,RTB.hr
hr,Cartoon Network / TCM,CartoonTCM.hr
hr,Da Vinci Learning,DaVinciLearning.hr
hr,VH1,VH1.hr
hr,Varaždinska TV,VarazdinskaTV.hr
hr,Diva,Diva.hr
hr,Happy TV,HappyTV.hr
hr,ATV,ATV.hr
hr,HRT 3,HRT3.hr
hr,HRT 4,HRT4.hr
hr,HTV2,HRTTV2.hr
hr,JimJam,JimJam.hr
hr,E! Entertainment,E.hr
hr,M1 FILM,M1Film.hr
hr,Arena Sport 4,ArenaSport4.hr
hr,Baby TV,BabyTV.hr
hr,Kanal-Ri,Kanal-Ri.hr
hr,Fox Life,FOXLife.hr
hr,Z1,Z1.hr
hr,Pink Family,PinkFamily.hr
hr,Pickbox,Pickbox.hr
hr,Fox Movies,FoxMovies.hr
hr,MrežaST,MrezaST.hr
hr,CMC,CMC.hr
hr,Cinemax,Cinemax1.hr
hr,Mezzo,Mezzo.hr
hr,RTL2,rtl2.hr
hr,HitTV,HitTV.hr
hr,Mini TV,MiniTV.hr
hr,Disney XD,DisneyXD.hr
hr,Pink 2,Pink2.hr
hr,H2,H2.hr
hr,Universal Channel,Universal.hr
hr,Pozitiv TV,PozitivTV.hr
hr,Fashion Tv,FashionTV.hr
hr,Minimax,Minimax.hr
hr,Jugoton*,Jugoton.hr
hr,Dr. Fit,DrFit.hr
hr,HNTV,HNTV.hr
hr,Viasat Nature,ViasatNature.hr
hr,History HD,HistoryHD.hr
hr,Fine Living Network,FineLivingNetwork.hr
hr,Discovery ID,DiscoveryID.hr
hr,AMC,AMC.hr
hr,Woman,Woman.hr
hr,SportKlub 3,SportKlub3.hr
hr,Doma TV,DomaTV.hr
hr,Food Network,FoodNetwork.hr
hr,Cinestar TV Fantasy,CinestarFantasy.hr
hr,TV4r,TV4r.hr
hr,Pink Comedy,PinkComedy.hr
hr,Jabuka TV,JabukaTV.hr
hr,Cinemania,Cinemania.hr
hr,Fox Crime,FOXCrime.hr
hr,HTV1,HRTTV1.hr
hr,NOVA TV,NovaTV.hr
hr,Nickelodeon,Nickelodeon.hr
hr,AXN Spin,AXNSpin.hr
hr,N1 Croatia,N1Croatia.hr
hr,Animal Planet,AnimalPlanet.hr
hr,Osječka TV,OsječkaTV.hr
hr,Arena Sport 2,ArenaSport2.hr
hr,Pink Horror,PinkHorror.hr
hr,Travel Channel,TravelChannel.hr
hr,Slavonskobrodska televizija,Slavonskobrodska.hr
hr,FTV,FTV.hr
hr,SportKlub 2,SportKlub2.hr
hr,TV KC::N,TVKCN.hr
hr,Disney Junior,DisneyJunior.hr
hr,Sci-Fi Channel,SciFi.hr
hr,RTL TELEVIZIJA,RTLTelevizija.hr
hr,RTL Passion,RTLPassion.hr
hr,National Geographic HD,NationalGeographicHD.hr
hr,NeT,NetTV.hr
hr,Body in balance,BodyInBalance.hr
hr,RTL TELEVIZIJA,RTLplus.hr
hr,24Kitchen,24Kitchen.hr
hr,Vinkovačka TV,VinkovačkaTV.hr
hr,RTL Crime,RTLCrime.hr
hr,TV Jadran,TVJadran.hr
hr,SportKlub HD,SportKlubHD.hr
hr,Hayat TV,HAYATTVBIH.hr
hr,Comedy Central Extra,ComedyCentralExtra.hr
hr,HBO Comedy,HBOComedy.hr
hr,FilmBox Plus,FilmBoxPlus.hr
hr,History Channel,History.hr
hr,CBS Reality,ZoneReality.hr
hr,National Geographic,NGC.hr
hr,Cinemax 2,Cinemax2.hr
hr,Cinestar TV,CinestarTV.hr
hr,Discovery Channel,Discovery.hr
hr,Viasat Explorer,ViasatExplorer.hr
hr,Eurosport2 - Srbija,Eurosport2.hr
hr,Sportska Televizija,SportskaTelevizija.hr
hr,NatGeo Wild HD,NatGeoWildHD.hr
hr,Trace Urban,TraceUrban.hr
hr,Arena Sport 3,ArenaSport3.hr
hr,Duck TV,DuckTV.hr
hr,PINK Plus,PINKPlus.hr
hr,Planet Earth,PlanetEarth.hr
hr,RTL Kockica,RTLKockica.hr
hr,GINX,GINX.hr
hr,Zdrava TV,ZdravaTV.hr
hr,Dubrovačka TV,DubrovačkaTV.hr
hr,KinoTV,KinoTV.hr
hr,Slavonska TV,SlavonskaTV.hr
hr,TV1,TV1.hr
hr,Laudato TV,LaudatoTV.hr
hr,TV1000,TV1000.hr
hr,RTL Living,RTLLiving.hr
hr,NatGeo Wild,NatGeoWild.hr
hr,FilmBox Extra HD,FilmBoxExtra.hr
hr,PINK BH,PINKBH.hr
hr,Discovery World,DiscoveryWorld.hr
hr,HBO,HBOAdria.hr
hr,Disney Channel,DisneyChannel.hr
hr,Klasik TV,KlasikTV.hr
hr,OBN,OBN.hr
hr,Arena Sport 6,ArenaSport6.hr
hu,Da Vinci Learning,DaVinciLearning.hu
hu,Zone Reality,ZoneReality.hu
hu,Cinemax,Cinemax.hu
hu,Musicmix,Musicmix.hu
hu,Nat Geo Wild HD,NatGeoWildHD.hu
hu,ID Extra,IDExtra.hu
hu,TV2,tv2.hu
hu,Cartoon Network / TCM,CartoonNetworkTCM.hu
hu,Eurosport1 - Magyarország,Eurosport1.hu
hu,Comedy Central Extra,ComedyCentralExtra.hu
hu,Sport2,Sport2.hu
hu,Sport1,Sport1.hu
hu,Moziverzum,Moziverzum.hu
hu,Filmbox Plus,FilmboxPlus.hu
hu,Comedy Central,ComedyCentral.hu
hu,Nat Geo Wild,NatGeoWild.hu
hu,Eurosport2 - Magyarország,Eurosport2.hu
hu,Film Cafe,FilmCafe.hu
hu,Fix,Fix.hu
hu,film+,FilmPlus.hu
hu,Discovery Turbo Xtra,DTX.hu
hu,Duna TV,Duna.hu
hu,Duck TV HD TV,DuckTV.hu
hu,Filmbox Prémium,FilmboxPremium.hu
hu,Digi Sport 2,DigiSport2.hu
hu,AMC,AMC.hu
hu,Digi Sport 3,DigiSport3.hu
hu,MTV,MTVHungary.hu
hu,Viasat Nature,ViasatNature.hu
hu,IDX,IDXtra.hu
hu,Film Mania,FilmMania.hu
hu,Digi Animal World,DigiAnimalWorld.hu
hu,PAX Tv,PAXTV.hu
hu,Disney Channel,DisneyChannel.hu
hu,Spektrum Home,SpektrumHome.hu
